"SN","First Name","Last Name","Username","Email","Registered On","User Type","Status"
"1","sunil","shrestha","sunilshresthastha","sunil.shrestha@yopmail.com","May 30, 2023","Free","Unverified"
"2","Sunil","Shrestha","sunilgurzu","sunil.shrestha@gurzu.com","May 24, 2023","Free","Verified"
"3","sunil","shrestha","sunil_55","sunil.stha86+55@gmail.com","May 24, 2023","Free","Unverified"
"4","James","Shrestha","james","jasmeen.shrestha+1@gurzu.com","May 5, 2023","Free","Verified"
"5","Sandi","Test","sandi","nihal+test1@gurzu.com","April 27, 2023","Premium","Verified"
"6","Nihal","Shrestha","nihaldemo","nihal+demo@gurzu.com","April 13, 2023","Free","Verified"
"7","Nihal","Shrestha","nihal11","nihal+11@gurzu.com","April 13, 2023","Free","Verified"
"8","Nihal","Shrestha","nihal10","nihal+10@gurzu.com","April 13, 2023","Free","Verified"
"9","Nihal","Shrestha","nihal9","nihal+9@gurzu.com","April 13, 2023","Free","Verified"
"10","Nihal","Shrestha","nihal8","nihal+8@gurzu.com","April 13, 2023","Free","Verified"
"11","Nihal","Shrestha","nihal7","nihal+7@gurzu.com","April 13, 2023","Free","Verified"
"12","Nihal","Shrestha","nihal6","nihal+6@gurzu.com","April 13, 2023","Free","Verified"
"13","Nihal","Shrestha","nihal5","nihal+5@gurzu.com","April 12, 2023","Premium","Verified"
"14","Nihal","Four","nihal4","nihal+4@gurzu.com","April 12, 2023","Free","Verified"
"15","Nihal","Three","nihal3","nihal+3@gurzu.com","April 12, 2023","Free","Verified"
"16","Nihal","Two","nihal2","nihal+2@gurzu.com","April 11, 2023","Free","Verified"
"17","Yubin","Karki","yk","yubin.karki@gurzu.com","April 3, 2023","Free","Verified"
"18","Tiana","Watson","tiana","nihal+1@gurzu.com","March 30, 2023","Premium","Verified"
"19","Suprince","Shakya","suprince","suprince.shakya@gurzu.com","March 17, 2023","Free","Verified"
"20","Testing","","milan.g","milan.amatya+g@gurzu.com","January 20, 2023","Free","Unverified"
"21","sun","nil","sunil.12","sunil.12@yopmail.com","January 20, 2023","Free","Verified"
"22","Hell","","hell","hello@yopmail.com","January 20, 2023","Free","Deleted"
"23","Phone","","testphone","testphone@yopmail.com","January 20, 2023","Free","Verified"
"24","Sun","","usersunil","sunil.stha86+18@gmail.com","January 20, 2023","Free","Verified"
"25","SunNil","","sunil","sunil.stha86+186@gmail.com","January 20, 2023","Free","Verified"
"26","Mahesh","","mahesh","mahesh@yopmail.com","January 20, 2023","Free","Verified"
"27","Sunil","","sunilstha","sunilstha@yopmail.com","January 18, 2023","Free","Verified"
"28","Notebooks","","notebook","notebook@yopmail.com","December 8, 2022","Free","Verified"
"29","Rabin","","rabin","rabin@yopmail.com","November 17, 2022","Free","Verified"
"30","Sn","Royal","sn","sn.royal@yopmail.com","November 15, 2022","Free","Verified"
"31","Sodip","Thapa","sodip1","sodip.thapa@gurzu.com","November 7, 2022","Free","Verified"
"32","Sandesh","","wolowolo","wolowolo@yopmail.com","November 4, 2022","Free","Verified"
"33","Nikita","","nikita123","nikita123@yopmail.com","November 3, 2022","Free","Verified"
"34","Nikita","","nikita12","nikita12@yopmail.com","November 3, 2022","Free","Verified"
"35","Nikita","","nikita1","nikita1@yopmail.cm","November 3, 2022","Free","Unverified"
